group	se	rank	jsd	fdr	cn_mean	gene	dist_kb	chrom	start	end
Alveolar Rhabdomyosarcoma	USE_42801	11	0.4237	0.1612	0.82	CT45A1	41	chrX	135675088	135679759
Alveolar Rhabdomyosarcoma	USE_16196	12	0.4242	0.1612	0.771	NLRP1	211	chr17	5769530	5771678
Alveolar Rhabdomyosarcoma	USE_20111	13	0.4265	0.1612	1.086	USP29	64	chr19	57055896	57065936
Alveolar Rhabdomyosarcoma	USE_9810	14	0.4265	0.1612	1.056	PTPRR	75	chr12	70853740	70855758
Alveolar Rhabdomyosarcoma	USE_42675	15	0.4272	0.1612	0.352	NRK	25	chrX	105857814	105873081
Anaplastic Large-Cell Lymphoma ALK Negative	USE_4618	1	0.3785	0.1612	0.524	CAMK1D	98	chr10	12690565	12691659
Anaplastic Large-Cell Lymphoma ALK Negative	USE_16786	2	0.3787	0.1612	0.954	CCR7	4	chr17	40562507	40565335
Anaplastic Large-Cell Lymphoma ALK Negative	USE_24133	3	0.3843	0.1612	0.958	DEFB115	1506	chr20	29751385	29752418
Anaplastic Large-Cell Lymphoma ALK Negative	USE_8948	4	0.3868	0.1612	1.059	BCAT1	183	chr12	24695718	24697058
Anaplastic Large-Cell Lymphoma ALK Negative	USE_301	5	0.4033	0.1612	0.993	MFN2	6	chr1	12003395	12005766
Anaplastic Large-Cell Lymphoma ALK Negative	USE_24704	6	0.4069	0.1612	1.205	TSHZ2	166	chr20	53062373	53071786
Anaplastic Large-Cell Lymphoma ALK Negative	USE_18813	7	0.4073	0.1612	1.235	MBP	66	chr18	76988098	76990486
Anaplastic Large-Cell Lymphoma ALK Negative	USE_34114	8	0.4124	0.1612	1.025	RCAN2	31	chr6	46323748	46325576
Anaplastic Large-Cell Lymphoma ALK Negative	USE_33185	9	0.4134	0.1612	1.207	LYRM4	97	chr6	5278889	5281008
Anaplastic Large-Cell Lymphoma ALK Negative	USE_25504	10	0.4155	0.1612	1.015	SLC37A1	31	chr21	42568898	42570976
Anaplastic Large-Cell Lymphoma ALK Negative	USE_36328	11	0.4157	0.1612	0.993	TNS3	482	chr7	46943046	46949241
Anaplastic Large-Cell Lymphoma ALK Negative	USE_4507	12	0.4173	0.1612	0.514	IL2RA	24	chr10	6050647	6072355
Anaplastic Large-Cell Lymphoma ALK Negative	USE_8541	13	0.4192	0.1612	1.03	CACNA1C	206	chr12	2531147	2550429
Anaplastic Large-Cell Lymphoma ALK Negative	USE_28021	14	0.4198	0.1612	1.012	COL6A5	64	chr3	130346176	130354237
Anaplastic Large-Cell Lymphoma ALK Negative	USE_17811	15	0.4217	0.1612	0.483	SLC26A11	25	chr17	80253655	80270347
Anaplastic Large-Cell Lymphoma ALK Positive	USE_35531	1	0.4317	0.1612	1.301	CYP2W1	9	chr7	995067	997473
Anaplastic Large-Cell Lymphoma ALK Positive	USE_16317	2	0.443	0.1612	0.903	COX10	42	chr17	14191570	14194200
Anaplastic Large-Cell Lymphoma ALK Positive	USE_4216	3	0.4624	0.1612	1.396	RYR2	166	chr1	237270438	237272242
Anaplastic Large-Cell Lymphoma ALK Positive	USE_20159	4	0.4649	0.1612	1.06	SNTG2	60	chr2	1095201	1102953
Anaplastic Large-Cell Lymphoma ALK Positive	USE_40372	5	0.4663	0.1612	1.192	PTP4A3	128	chr8	141539996	141541278
Anaplastic Large-Cell Lymphoma ALK Positive	USE_33199	6	0.4738	0.1612	1.417	NRN1	87	chr6	6088086	6092629
Anaplastic Large-Cell Lymphoma ALK Positive	USE_5793	7	0.4754	0.1612	0.89	SEC31B	6	chr10	100508101	100511972
Anaplastic Large-Cell Lymphoma ALK Positive	USE_14697	8	0.4772	0.1612	1.192	FAM234A	6	chr16	258687	260426
Anaplastic Large-Cell Lymphoma ALK Positive	USE_38841	9	0.4775	0.1612	1.403	FAM110B	454	chr8	57638419	57651276
Anaplastic Large-Cell Lymphoma ALK Positive	USE_38847	10	0.4778	0.1612	1.403	FAM110B	53	chr8	58152335	58154126
Anaplastic Large-Cell Lymphoma ALK Positive	USE_19733	11	0.4825	0.1612	1.044	PSG8	18	chr19	42821971	42823281
Anaplastic Large-Cell Lymphoma ALK Positive	USE_11036	12	0.4877	0.1612	1.089	KL	44	chr13	33085003	33086204
Anaplastic Large-Cell Lymphoma ALK Positive	USE_22252	13	0.4879	0.1612	1.079	TMEM163	85	chr2	134668256	134678234
Anaplastic Large-Cell Lymphoma ALK Positive	USE_34114	14	0.4912	0.1619	1.076	RCAN2	31	chr6	46323748	46325576
Anaplastic Large-Cell Lymphoma ALK Positive	USE_6258	15	0.4916	0.1619	0.731	MGMT	419	chr10	129193611	129204979
Astrocytoma, IDH-Mutant	USE_15304	1	0.4339	0.1612	0.658	AHSP	72	chr16	31598565	31603472
Astrocytoma, IDH-Mutant	USE_8937	2	0.4373	0.1619	0.956	SOX5	152	chr12	24197150	24199174
Astrocytoma, IDH-Mutant	USE_31356	3	0.4621	0.1741	1.104	HCN1	1719	chr5	47182963	47208026
Astrocytoma, IDH-Mutant	USE_40509	4	0.4667	0.1786	0.766	DMRT1	103	chr9	800988	802498
Astrocytoma, IDH-Mutant	USE_19364	5	0.4691	0.1815	0.927	ZNF99	13	chr19	22748016	22760672
Astrocytoma, IDH-Mutant	USE_19370	6	0.477	0.1899	0.953	ZNF675	7	chr19	23595541	23602214
Astrocytoma, IDH-Mutant	USE_37427	7	0.477	0.19	1.283	POT1	83	chr7	124955333	124964234
Astrocytoma, IDH-Mutant	USE_31357	8	0.4782	0.1916	1.104	HCN1	1774	chr5	47229279	47271324
Astrocytoma, IDH-Mutant	USE_26412	9	0.4832	0.1972	0.728	TAFA5	243	chr22	48423019	48429934
Astrocytoma, IDH-Mutant	USE_26423	10	0.4841	0.198	0.765	BRD1	398	chr22	49396432	49407050
Astrocytoma, IDH-Mutant	USE_18218	11	0.4891	0.2067	0.98	ANKRD30B	483	chr18	15266936	15283727
Astrocytoma, IDH-Mutant	USE_22213	12	0.4894	0.2071	0.918	ANKRD30BL	97	chr2	132099042	132111386
Astrocytoma, IDH-Mutant	USE_25657	13	0.4897	0.2077	0.751	OR11H1	206	chr22	15317616	15327507
Astrocytoma, IDH-Mutant	USE_40997	14	0.4954	0.2178	1.0	ANKRD20A4P	444	chr9	64830137	64842306
Astrocytoma, IDH-Mutant	USE_19564	15	0.4961	0.2187	0.931	ZNF345	0	chr19	36869032	36892973
Atypical Teratoid/Rhabdoid Tumor	USE_20823	1	0.3296	0.1612	0.983	TTC27	191	chr2	32916057	32916777
Atypical Teratoid/Rhabdoid Tumor	USE_20822	2	0.3388	0.1612	0.983	TTC27	199	chr2	32900706	32948073
Atypical Teratoid/Rhabdoid Tumor	USE_23592	3	0.4771	0.1908	1.002	NDUFA10	251	chr2	239706299	239707900
Atypical Teratoid/Rhabdoid Tumor	USE_21133	4	0.4894	0.2075	1.018	NRXN1	232	chr2	50334222	50345851
Atypical Teratoid/Rhabdoid Tumor	USE_11387	5	0.491	0.2106	0.989	KLHL1	1196	chr13	68707992	68709025
Atypical Teratoid/Rhabdoid Tumor	USE_19075	6	0.4946	0.2165	0.979	CD320	29	chr19	8268315	8282513
Atypical Teratoid/Rhabdoid Tumor	USE_32186	7	0.5034	0.2343	1.221	SLC27A6	87	chr5	128868741	128877159
Atypical Teratoid/Rhabdoid Tumor	USE_30673	8	0.511	0.2527	1.009	GPM6A	36	chr4	175851067	175856989
Atypical Teratoid/Rhabdoid Tumor	USE_39581	9	0.5122	0.2553	0.994	CSMD3	597	chr8	113419187	113435299
Atypical Teratoid/Rhabdoid Tumor	USE_34721	10	0.5173	0.2678	1.018	HSF2	357	chr6	122052644	122064675
Atypical Teratoid/Rhabdoid Tumor	USE_9915	11	0.5188	0.2718	0.986	PAWR	115	chr12	79512411	79523371
Atypical Teratoid/Rhabdoid Tumor	USE_13122	12	0.5225	0.2827	1.015	HHIPL1	8	chr14	99670688	99672581
Atypical Teratoid/Rhabdoid Tumor	USE_9916	13	0.5226	0.2827	0.986	PAWR	110	chr12	79521588	79523389
Atypical Teratoid/Rhabdoid Tumor	USE_41351	14	0.5285	0.2994	1.007	FGD3	21	chr9	92969503	92971184
Atypical Teratoid/Rhabdoid Tumor	USE_9159	15	0.5286	0.2996	0.978	BICD1	3	chr12	32248581	32249686
B-Cell Acute Lymphoblastic Leukemia	USE_24960	1	0.335	0.1612	1.046	YTHDF1	54	chr20	63149147	63152997
B-Cell Acute Lymphoblastic Leukemia	USE_31211	2	0.3465	0.1612	1.054	CAPSL	12	chr5	35907575	35910338
B-Cell Acute Lymphoblastic Leukemia	USE_32688	3	0.3507	0.1612	1.125	EBF1	385	chr5	158510888	158514552
B-Cell Acute Lymphoblastic Leukemia	USE_38805	4	0.3626	0.1612	1.062	XKR4	256	chr8	55064368	55066239
B-Cell Acute Lymphoblastic Leukemia	USE_26870	5	0.3637	0.1612	0.894	ARPP21	62	chr3	35652755	35655595
B-Cell Acute Lymphoblastic Leukemia	USE_36459	6	0.3652	0.1612	0.934	ZNF479	239	chr7	56885160	56893660
B-Cell Acute Lymphoblastic Leukemia	USE_26774	7	0.3697	0.1612	1.076	OXSM	316	chr3	26103950	26106253
B-Cell Acute Lymphoblastic Leukemia	USE_25405	8	0.3739	0.1612	1.043	ERG	22	chr21	38496888	38499223
B-Cell Acute Lymphoblastic Leukemia	USE_6173	9	0.3761	0.1612	0.953	GPR26	144	chr10	123536325	123538915
B-Cell Acute Lymphoblastic Leukemia	USE_25814	10	0.3769	0.1612	0.855	VPREB1	1	chr22	22235444	22257428
B-Cell Acute Lymphoblastic Leukemia	USE_26706	11	0.3795	0.1612	1.07	TBC1D5	182	chr3	17980150	17986603
B-Cell Acute Lymphoblastic Leukemia	USE_25121	12	0.3797	0.1612	0.962	USP25	270	chr21	15533632	15536209
B-Cell Acute Lymphoblastic Leukemia	USE_42202	13	0.3801	0.1612	1.02	LCN6	2	chr9	136748726	136749784
B-Cell Acute Lymphoblastic Leukemia	USE_5555	14	0.3808	0.1612	0.942	NRG3	21	chr10	82408843	82411339
B-Cell Acute Lymphoblastic Leukemia	USE_36472	15	0.3824	0.1612	0.948	ZNF727	377	chr7	63683284	63691540
Bladder Urothelial Carcinoma	USE_20043	1	0.5263	0.1619	0.702	VSTM1	13	chr19	54035329	54042559
Bladder Urothelial Carcinoma	USE_41579	2	0.5555	0.1984	1.174	PTPN3	100	chr9	109537083	109538396
Bladder Urothelial Carcinoma	USE_3506	3	0.556	0.1996	1.039	GOLT1A	20	chr1	204225409	204227389
Bladder Urothelial Carcinoma	USE_41580	4	0.5646	0.2249	1.174	PTPN3	119	chr9	109555186	109557073
Bladder Urothelial Carcinoma	USE_22142	5	0.5692	0.2407	0.962	GYPC	964	chr2	125710903	125712360
Bladder Urothelial Carcinoma	USE_486	6	0.5715	0.2504	1.098	UBXN10	20	chr1	20210639	20212916
Bladder Urothelial Carcinoma	USE_34405	7	0.574	0.2603	0.884	HTR1E	621	chr6	86354736	86356570
Bladder Urothelial Carcinoma	USE_25514	8	0.575	0.2654	1.147	WDR4	48	chr21	42811903	42813765
Bladder Urothelial Carcinoma	USE_5107	9	0.5756	0.2678	1.079	FAM25G	6	chr10	47481420	47484673
Bladder Urothelial Carcinoma	USE_5089	10	0.5792	0.2849	0.99	ANXA8L1	6	chr10	46375720	46378800
Bladder Urothelial Carcinoma	USE_3664	11	0.5809	0.2946	1.077	CAMK1G	214	chr1	209383348	209384805
Bladder Urothelial Carcinoma	USE_7200	12	0.5811	0.2957	1.165	SLC22A11	21	chr11	64541390	64543449
Bladder Urothelial Carcinoma	USE_27788	13	0.5819	0.2994	1.315	TEX55	7	chr3	119159900	119162090
Bladder Urothelial Carcinoma	USE_28466	14	0.5819	0.2994	1.174	GOLIM4	368	chr3	168416207	168425212
Bladder Urothelial Carcinoma	USE_33248	15	0.5828	0.3045	0.911	EEF1E1	70	chr6	8157356	8158910
Breast Ductal Carcinoma In Situ	USE_25090	1	0.2613	0.1612	0.058	TPTE	129	chr21	10692705	10693094
Breast Ductal Carcinoma In Situ	USE_25089	2	0.2693	0.1612	0.058	TPTE	140	chr21	10692560	10716785
Breast Ductal Carcinoma In Situ	USE_25037	3	0.2957	0.1612	0.058	TPTE	2628	chr21	7926078	7944654
Breast Ductal Carcinoma In Situ	USE_25057	4	0.3979	0.1697	0.058	TPTE	2117	chr21	8445602	8447008
Breast Ductal Carcinoma In Situ	USE_25062	5	0.3992	0.1701	0.058	TPTE	1750	chr21	8810062	8815832
Breast Ductal Carcinoma In Situ	USE_25048	6	0.4115	0.1784	0.058	TPTE	2303	chr21	8259429	8260856
Breast Ductal Carcinoma In Situ	USE_25082	7	0.4151	0.1819	0.058	TPTE	291	chr21	10270082	10274297
Breast Ductal Carcinoma In Situ	USE_25047	8	0.4173	0.1842	0.058	TPTE	2313	chr21	8249666	8251942
Breast Ductal Carcinoma In Situ	USE_25064	9	0.4197	0.1865	0.058	TPTE	1520	chr21	9042101	9043598
Breast Ductal Carcinoma In Situ	USE_25056	10	0.4203	0.1873	0.058	TPTE	2131	chr21	8432037	8433039
Breast Ductal Carcinoma In Situ	USE_25041	11	0.4229	0.1891	0.058	TPTE	2343	chr21	8218698	8221063
Breast Ductal Carcinoma In Situ	USE_25063	12	0.4291	0.1945	0.058	TPTE	1576	chr21	8986683	8988701
Breast Ductal Carcinoma In Situ	USE_25045	13	0.4346	0.1997	0.058	TPTE	2322	chr21	8240174	8241621
Breast Ductal Carcinoma In Situ	USE_25060	14	0.4408	0.209	0.058	TPTE	2095	chr21	8467751	8469193
Breast Ductal Carcinoma In Situ	USE_25051	15	0.4448	0.2151	0.058	TPTE	2160	chr21	8402516	8404081
Breast Invasive Carcinoma, NOS	USE_18043	1	0.5257	0.2227	0.701	LRRC30	336	chr18	7566553	7568793
Breast Invasive Carcinoma, NOS	USE_18042	2	0.5291	0.232	0.701	LRRC30	340	chr18	7566513	7578280
Breast Invasive Carcinoma, NOS	USE_22330	3	0.5454	0.2826	0.556	GTDC1	193	chr2	143936760	143946619
Breast Invasive Carcinoma, NOS	USE_39372	4	0.5475	0.2895	1.416	KCNS2	30	chr8	98398014	98400167
Breast Invasive Carcinoma, NOS	USE_23684	5	0.5606	0.3398	0.005	SIRPB1	19	chr20	1565896	1576694
Breast Invasive Carcinoma, NOS	USE_39371	6	0.5646	0.3577	1.416	KCNS2	34	chr8	98391229	98399584
Breast Invasive Carcinoma, NOS	USE_2836	7	0.5649	0.3594	1.206	CCDC190	9	chr1	162854708	162858489
Breast Invasive Carcinoma, NOS	USE_39796	8	0.5658	0.364	1.966	ZHX2	440	chr8	122433552	122441590
Breast Invasive Carcinoma, NOS	USE_33136	9	0.5703	0.3861	1.161	SLC22A23	27	chr6	3389508	3391433
Breast Invasive Carcinoma, NOS	USE_39540	10	0.5716	0.3922	1.388	RSPO2	91	chr8	108082389	108083443
Breast Invasive Carcinoma, NOS	USE_23687	11	0.5719	0.3939	1.154	SIRPG	75	chr20	1718658	1720190
Breast Invasive Carcinoma, NOS	USE_30690	12	0.5721	0.395	0.566	NEIL3	217	chr4	177117362	177120215
Breast Invasive Carcinoma, NOS	USE_34161	13	0.5732	0.4011	1.006	TFAP2B	66	chr6	50898758	50900710
Breast Invasive Carcinoma, NOS	USE_31207	14	0.5735	0.4026	1.609	SPEF2	55	chr5	35770659	35772227
Breast Invasive Carcinoma, NOS	USE_18597	15	0.5753	0.4121	0.889	TXNL1	480	chr18	56139649	56149118
Breast Invasive Ductal Carcinoma	USE_20252	1	0.5745	0.1726	0.972	RNF144A	780	chr2	7772590	7774692
Breast Invasive Ductal Carcinoma	USE_31042	2	0.5785	0.1791	1.51	MYO10	62	chr5	16735434	16737015
Breast Invasive Ductal Carcinoma	USE_39607	3	0.5799	0.1819	1.785	TRPS1	170	chr8	115778527	115780834
Breast Invasive Ductal Carcinoma	USE_13592	4	0.5805	0.183	0.886	CHST14	15	chr15	40486012	40490083
Breast Invasive Ductal Carcinoma	USE_28388	5	0.5811	0.1843	1.393	RARRES1	17	chr3	158731607	158733038
Breast Invasive Ductal Carcinoma	USE_22081	6	0.5815	0.1854	0.889	EN1	11	chr2	118805431	118861782
Breast Invasive Ductal Carcinoma	USE_34548	7	0.5841	0.1904	1.008	QRSL1	124	chr6	106772259	106774892
Breast Invasive Ductal Carcinoma	USE_16703	8	0.5842	0.1904	1.048	MRPL45	10	chr17	38319617	38322059
Breast Invasive Ductal Carcinoma	USE_39608	9	0.5843	0.1906	1.785	TRPS1	178	chr8	115786843	115788891
Breast Invasive Ductal Carcinoma	USE_29550	10	0.5874	0.1975	0.993	TLR1	3	chr4	38818768	38821080
Breast Invasive Ductal Carcinoma	USE_34547	11	0.5877	0.198	1.008	QRSL1	118	chr6	106760923	106774530
Breast Invasive Ductal Carcinoma	USE_39606	12	0.5879	0.198	1.785	TRPS1	161	chr8	115770029	115770918
Breast Invasive Ductal Carcinoma	USE_41270	13	0.5882	0.1986	1.016	S1PR3	24	chr9	89021348	89023214
Breast Invasive Ductal Carcinoma	USE_34470	14	0.5903	0.2067	0.85	FUT9	76	chr6	96185961	96198016
Breast Invasive Ductal Carcinoma	USE_41269	15	0.5904	0.2067	1.016	S1PR3	21	chr9	89014979	89023189
Breast Invasive Lobular Carcinoma	USE_42158	1	0.4136	0.1612	0.965	PPP1R26	90	chr9	135391938	135394439
Breast Invasive Lobular Carcinoma	USE_42159	2	0.4223	0.1612	0.965	PPP1R26	85	chr9	135392053	135404335
Breast Invasive Lobular Carcinoma	USE_10496	3	0.4278	0.1612	0.915	MAP1LC3B2	171	chr12	116389412	116392002
Breast Invasive Lobular Carcinoma	USE_7841	4	0.4346	0.1612	0.67	PGR	50	chr11	101022739	101034859
Breast Invasive Lobular Carcinoma	USE_6174	5	0.4576	0.1612	0.869	GPR26	67	chr10	123742418	123757164
Breast Invasive Lobular Carcinoma	USE_2034	6	0.4661	0.1612	0.933	LRIG2	149	chr1	113247643	113256697
Breast Invasive Lobular Carcinoma	USE_21644	7	0.468	0.1612	0.925	REEP1	11	chr2	86263292	86265313
Breast Invasive Lobular Carcinoma	USE_28900	8	0.4691	0.1612	0.947	TPRG1	37	chr3	189097941	189100277
Breast Invasive Lobular Carcinoma	USE_26385	9	0.4722	0.1612	0.956	CELSR1	42	chr22	46491282	46492953
Breast Invasive Lobular Carcinoma	USE_11628	10	0.4724	0.1612	0.625	STK24	95	chr13	98415330	98417168
Breast Invasive Lobular Carcinoma	USE_20341	11	0.474	0.1612	0.784	GREB1	25	chr2	11530082	11543228
Breast Invasive Lobular Carcinoma	USE_23932	12	0.4761	0.1612	0.903	KIF16B	119	chr20	16541637	16543418
Breast Invasive Lobular Carcinoma	USE_10484	13	0.4768	0.1612	0.915	MED13L	245	chr12	115871433	115873889
Breast Invasive Lobular Carcinoma	USE_40056	14	0.477	0.1612	1.448	MYC	402	chr8	128141095	128143185
Breast Invasive Lobular Carcinoma	USE_14814	15	0.4774	0.1612	1.054	SRL	63	chr16	4151531	4153394
Burkitt Lymphoma	USE_33575	1	0.2554	0.1612	0.466	HDGFL1	178	chr6	22744964	22752442
Burkitt Lymphoma	USE_152	2	0.3124	0.1612	1.037	CAMTA1	88	chr1	7363744	7367790
Burkitt Lymphoma	USE_28391	3	0.3128	0.1612	0.938	IQCJ	155	chr3	158954147	158963110
Burkitt Lymphoma	USE_27291	4	0.3139	0.1612	0.551	CADPS	183	chr3	62816832	62824090
Burkitt Lymphoma	USE_12476	5	0.321	0.1612	0.97	SLC35F4	5	chr14	57764207	57771201
Burkitt Lymphoma	USE_27511	6	0.3213	0.1612	0.983	EPHA3	253	chr3	89546522	89549427
Burkitt Lymphoma	USE_41731	7	0.324	0.1612	1.096	TLR4	445	chr9	118152399	118167782
Burkitt Lymphoma	USE_27512	8	0.3261	0.1612	0.983	EPHA3	256	chr3	89547441	89555806
Burkitt Lymphoma	USE_5367	9	0.3269	0.1612	1.085	CDH23	19	chr10	71624936	71627056
Burkitt Lymphoma	USE_42641	10	0.3285	0.1612	0.818	NAP1L3	99	chrX	93563857	93581307
Burkitt Lymphoma	USE_37368	11	0.3373	0.1612	0.955	ANKRD7	430	chr7	118774058	118797906
Burkitt Lymphoma	USE_25211	12	0.3373	0.1612	0.493	LTN1	490	chr21	28457985	28481362
Burkitt Lymphoma	USE_12477	13	0.3429	0.1612	0.97	SLC35F4	3	chr14	57770121	57783184
Burkitt Lymphoma	USE_24389	14	0.3431	0.1612	0.969	PTPRT	373	chr20	42994836	43015381
Burkitt Lymphoma	USE_36807	15	0.3465	0.1612	0.904	SEMA3E	222	chr7	83279178	83287998
Cervical Squamous Cell Carcinoma	USE_23098	1	0.415	0.1917	0.269	IKZF2	537	chr2	212537394	212538816
Cervical Squamous Cell Carcinoma	USE_38011	2	0.4809	0.3007	1.348	PTPRN2	270	chr7	158331132	158337417
Cervical Squamous Cell Carcinoma	USE_42712	3	0.4812	0.3015	0.945	PLS3	126	chrX	115732313	115732946
Cervical Squamous Cell Carcinoma	USE_36835	4	0.4889	0.3197	1.601	SEMA3D	745	chr7	85828511	85845788
Cervical Squamous Cell Carcinoma	USE_12661	5	0.49	0.3228	1.051	RAD51B	204	chr14	68065285	68076009
Cervical Squamous Cell Carcinoma	USE_4996	6	0.4923	0.3276	1.0	ANKRD30A	379	chr10	36789306	36809299
Cervical Squamous Cell Carcinoma	USE_32142	7	0.494	0.3314	1.071	ZNF608	630	chr5	125318887	125327656
Cervical Squamous Cell Carcinoma	USE_33551	8	0.4971	0.3383	1.018	SOX4	69	chr6	21664155	21667202
