group	se	rank	jsd	fdr	cn_mean	gene	dist_kb	chrom	start	end
ACHN	USE_8415	15	0.5886	0.0	1.044	SNX19	80	chr11	130804155	130818122
ASPC1	USE_29133	1	0.5884	0.0	0.959	LMLN	166	chr3	198168057	198169447
ASPC1	USE_16056	2	0.5885	0.0	1.15	PRDM7	43	chr16	90116695	90118414
ASPC1	USE_42251	3	0.5991	0.0	1.413	CACNA1B	231	chr9	138231328	138233398
ASPC1	USE_18606	4	0.6098	0.0	0.482	ONECUT2	35	chr18	57427617	57429044
ASPC1	USE_14144	5	0.6116	0.0	0.929	THSD4	28	chr15	71410038	71413478
ASPC1	USE_33283	6	0.6119	0.0	0.916	TFAP2A	57	chr6	10463366	10465441
ASPC1	USE_16058	7	0.6191	0.0	0.955	SCGB1C2	20	chr17	116817	118160
ASPC1	USE_13900	8	0.6235	0.0	0.844	GCNT3	47	chr15	59569173	59571080
ASPC1	USE_28920	9	0.6254	0.0	0.93	TP63	104	chr3	189864157	189873066
ASPC1	USE_19950	10	0.6285	0.0	0.929	IZUMO2	32	chr19	50189340	50191450
ASPC1	USE_15928	11	0.6289	0.0	1.133	FOXL1	51	chr16	86631107	86632375
ASPC1	USE_13902	12	0.6297	0.0	0.844	GCNT3	22	chr15	59594120	59596295
ASPC1	USE_20068	13	0.6301	0.0	0.039	KIR3DL2	7	chr19	54850530	54852451
ASPC1	USE_13903	14	0.6302	0.0	0.844	GCNT3	4	chr15	59615780	59628748
ASPC1	USE_34359	15	0.6307	0.0	0.939	BCKDHB	213	chr6	80438399	80440814
AU565	USE_38029	1	0.6133	0.0	1.182	DYNC2I1	46	chr7	158948875	158957906
AU565	USE_15824	2	0.6177	0.0	0.625	MPHOSPH6	38	chr16	82196520	82198997
AU565	USE_15826	3	0.6235	0.0	0.625	MPHOSPH6	170	chr16	82329225	82330616
AU565	USE_7309	4	0.6258	0.0	1.183	ALDH3B2	3	chr11	67674061	67675681
AU565	USE_36153	5	0.6262	0.0	1.997	GPR141	215	chr7	37535572	37550633
AU565	USE_22097	6	0.6267	0.0	1.295	INHBB	2	chr2	120344217	120348020
AU565	USE_21729	7	0.6269	0.0	1.236	MAL	17	chr2	95021462	95022715
AU565	USE_25611	8	0.6288	0.0	1.158	SLC19A1	19	chr21	45512654	45515251
AU565	USE_22139	9	0.6291	0.0	1.137	TSN	790	chr2	122539500	122546858
AU565	USE_21727	10	0.6294	0.0	1.236	MAL	20	chr2	95016566	95021483
AU565	USE_41603	11	0.6304	0.0	0.87	C9orf152	8	chr9	110206519	110208215
AU565	USE_15825	12	0.6306	0.0	0.625	MPHOSPH6	164	chr16	82317041	82330489
AU565	USE_27179	13	0.6307	0.0	0.937	CACNA1D	50	chr3	53518021	53524352
AU565	USE_14471	14	0.6311	0.0	0.945	POLG	58	chr15	89377720	89379826
AU565	USE_24491	15	0.6318	0.0	2.136	EYA2	51	chr20	46989733	46991455
BC1	USE_2767	1	0.593	0.0	1.564	SLAMF7	6	chr1	160739338	160741862
BC1	USE_38938	2	0.6033	0.0	0.883	BHLHE22	0	chr8	64580286	64581947
BC1	USE_15309	3	0.6062	0.0	1.013	TP53TG3C	166	chr16	33028195	33029303
BC1	USE_36580	4	0.6129	0.0	1.404	AUTS2	568	chr7	70763181	70765378
BC1	USE_26129	5	0.6135	0.0	0.993	IL2RB	13	chr22	37162167	37164918
BC1	USE_38939	6	0.6139	0.0	0.929	BHLHE22	7	chr8	64580375	64598576
BC1	USE_33053	7	0.614	0.0	1.05	DUSP22	9	chr6	329822	331856
BC1	USE_16786	8	0.6234	0.0	0.995	CCR7	4	chr17	40562507	40565335
BC1	USE_25836	9	0.6238	0.0	0.966	RAB36	2	chr22	23156797	23159213
BC1	USE_10746	10	0.6268	0.0	0.925	STX2	98	chr12	130714245	130717073
BC1	USE_15175	11	0.6278	0.0	0.998	IL21R	23	chr16	27403588	27404083
BC1	USE_40428	12	0.6279	0.0	2.776	ZC3H3	27	chr8	143461419	143462837
BC1	USE_26128	13	0.6295	0.0	0.993	IL2RB	7	chr22	37148693	37167439
BC1	USE_11344	14	0.6309	0.0	0.985	PRR20E	147	chr13	57310731	57321637
BC1	USE_34264	15	0.631	0.0	0.858	KHDRBS2	1742	chr6	60230140	60251071
BC3	USE_33053	1	0.5639	0.0	1.041	DUSP22	9	chr6	329822	331856
BC3	USE_38028	2	0.5658	0.0	1.522	DYNC2I1	9	chr7	158915256	158916051
BC3	USE_22800	3	0.5794	0.0	0.497	ZNF804A	767	chr2	183997458	184005981
BC3	USE_27262	4	0.5812	0.0	0.006	CFAP20DC	567	chr3	59450428	59452643
BC3	USE_27261	5	0.5815	0.0	0.006	CFAP20DC	564	chr3	59443779	59452298
BC3	USE_2767	6	0.5923	0.0	0.992	SLAMF7	6	chr1	160739338	160741862
BC3	USE_3393	7	0.6074	0.0	1.087	GPR25	5	chr1	200866014	200870061
BC3	USE_5766	8	0.6084	0.0	0.994	CNNM1	128	chr10	99232402	99234791
BC3	USE_11002	9	0.6114	0.0	1.014	MEDAG	63	chr13	30852025	30853522
BC3	USE_22801	10	0.6115	0.0	0.497	ZNF804A	764	chr2	184003952	184005879
BC3	USE_40063	11	0.6121	0.0	1.414	MYC	501	chr8	128239886	128241409
BC3	USE_40766	12	0.6137	0.0	0.0	CDKN2B	97	chr9	22101850	22105735
BC3	USE_24132	13	0.6157	0.0	1.005	DEFB115	1761	chr20	29496181	29498127
BC3	USE_26129	14	0.616	0.0	1.008	IL2RB	13	chr22	37162167	37164918
BC3	USE_5767	15	0.6167	0.0	0.994	CNNM1	122	chr10	99233330	99245527
BIN67	USE_1855	1	0.571	0.0	0.806	COL11A1	117	chr1	103106741	103112630
BIN67	USE_1856	2	0.574	0.0	0.806	COL11A1	119	chr1	103111291	103112937
BIN67	USE_36584	3	0.5757	0.0	0.928	GALNT17	118	chr7	71300046	71309221
BIN67	USE_25123	4	0.5769	0.0	0.85	USP25	193	chr21	15603669	15618855
BIN67	USE_36585	5	0.5772	0.0	0.928	GALNT17	114	chr7	71307825	71309408
BIN67	USE_4035	6	0.5827	0.0	1.0	RNF187	44	chr1	228530310	228545016
BIN67	USE_34644	7	0.5904	0.0	1.012	RFPL4B	223	chr6	112562968	112581924
BIN67	USE_36583	8	0.5942	0.0	0.928	GALNT17	178	chr7	71236637	71252677
BIN67	USE_38793	9	0.5948	0.0	0.967	SOX17	6	chr8	54453508	54477573
BIN67	USE_40639	10	0.5957	0.0	1.003	MPDZ	367	chr9	13550769	13569032
BIN67	USE_38996	11	0.5961	0.0	1.017	C8orf34	279	chr8	68846521	68862256
BIN67	USE_9962	12	0.5968	0.0	0.908	RASSF9	6	chr12	85814478	85836230
BIN67	USE_1857	13	0.5972	0.0	0.806	COL11A1	185	chr1	103161873	103195134
BIN67	USE_11702	14	0.5991	0.0	0.932	ITGBL1	60	chr13	101520283	101531499
BIN67	USE_9745	15	0.5992	0.0	0.798	RAP1B	80	chr12	68556814	68565405
BJAB	USE_33575	1	0.4569	0.0	0.466	HDGFL1	178	chr6	22744964	22752442
BJAB	USE_27291	2	0.5043	0.0	0.551	CADPS	183	chr3	62816832	62824090
BJAB	USE_28391	3	0.5121	0.0	0.938	IQCJ	155	chr3	158954147	158963110
BJAB	USE_42641	4	0.5124	0.0	0.818	NAP1L3	99	chrX	93563857	93581307
BJAB	USE_12476	5	0.5126	0.0	0.97	SLC35F4	5	chr14	57764207	57771201
BJAB	USE_27511	6	0.5142	0.0	0.983	EPHA3	253	chr3	89546522	89549427
BJAB	USE_41731	7	0.5161	0.0	1.096	TLR4	445	chr9	118152399	118167782
BJAB	USE_27512	8	0.5178	0.0	0.983	EPHA3	256	chr3	89547441	89555806
BJAB	USE_152	9	0.5193	0.0	1.037	CAMTA1	88	chr1	7363744	7367790
BJAB	USE_5367	10	0.5209	0.0	1.085	CDH23	19	chr10	71624936	71627056
BJAB	USE_25211	11	0.5213	0.0	0.493	LTN1	490	chr21	28457985	28481362
BJAB	USE_37368	12	0.5227	0.0	0.955	ANKRD7	430	chr7	118774058	118797906
BJAB	USE_12477	13	0.5276	0.0	0.97	SLC35F4	3	chr14	57770121	57783184
BJAB	USE_24389	14	0.5296	0.0	0.969	PTPRT	373	chr20	42994836	43015381
BJAB	USE_30322	15	0.533	0.0	0.898	PABPC4L	303	chr4	133888992	133901213
BT12	USE_20823	1	0.4719	0.0	0.984	TTC27	191	chr2	32916057	32916777
BT12	USE_20822	2	0.4778	0.0	0.984	TTC27	199	chr2	32900706	32948073
BT12	USE_23592	3	0.5557	0.0	1.014	NDUFA10	251	chr2	239706299	239707900
BT12	USE_19075	4	0.5628	0.0	0.962	CD320	29	chr19	8268315	8282513
BT12	USE_27518	5	0.5931	0.0	0.994	PROS1	455	chr3	93470097	93471060
BT12	USE_41566	6	0.6004	0.0	0.951	ACTL7B	86	chr9	108762115	108775220
BT12	USE_146	7	0.6014	0.0	0.997	CAMTA1	47	chr1	7228392	7230928
BT12	USE_38691	8	0.6055	0.0	0.978	HGSNAT	67	chr8	43237742	43240095
BT12	USE_13151	9	0.6067	0.0	1.021	BEGAIN	5	chr14	100566900	100569412
BT12	USE_41567	10	0.6095	0.0	0.951	ACTL7B	76	chr9	108775720	108780914
BT12	USE_22654	11	0.6116	0.0	1.033	RAPGEF4	136	chr2	173029116	173031664
